question,answer,source
How do I access my 1098-T tax form?,"Note: If the current tax year was the first year you attended Troy University you will not be able to log into the system until you receive the email letting you know the forms are available. The 1098-T form will become available at the end of January of each year for the previous calendar year. If you have consented to receive the form online, you will receive an email once the forms become available. Login Visit the following URL: https://www.tsc1099.com/login1098.aspx In the field labeled Site ID enter 10296 . In the field labeled Username enter your TROY User ID. This will be your Troy University email address without the ""@troy.edu"" on the end. Visit our Find Your User ID Name page if you do not know your User ID. In the field labeled Password the default is the last four digits of your Social Security Number. If you have logged in before you would have changed the password. If you need your password reset you can click the Forgot Password link on the web page or enter a helpdesk request here . If you still cannot access your 1098T form, please call 1-800-414-5756. Change Your Temporary Password After successfully completing Step 1 you must change your temporary password. Print Your 1098-T From the menu on the left select View/Print 1098-T. Save Your 1098-T Select Save to store a copy of your 1098-T. You may open the file and print. After you have saved your 1098-T click Logout to exit. For technical assistance please use the 1098-T Helpdesk Ticket page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40339
Turn Off Private Relay on Apple Products,"To turn off iCloud Private Relay on an iPhone, you can do the following: Go to Settings Tap your name Tap iCloud Tap Private Relay Tap Turn Off Private Relay to turn it off completely To turn off iCloud Private Relay on a Mac, you can do the following: Go to System Settings Click your name Click iCloud Click Private Relay Click Turn Off to turn it off completely You can also turn off iCloud Private Relay for a specific Wi-Fi network on an iOS, iPadOS, or visionOS device. To do this, you can: Go to Settings Tap Wi-Fi Tap the Info button next to your network Tap to turn off iCloud Private Relay",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=164457
Two-Factor Authentication Registration,"Registration Process for Microsoft Two-Factor Authentication (2FA) and Self-Service Password Reset 1. On a PC or Mac, open a new browser and go to https://myprofile.microsoft.com 2. After you sign in to your work or school account, you'll see a prompt that asks you to provide more information before it lets you access your account. 3. Start by downloading the Microsoft Authenticator App from your mobile device’s app store. 4. Click Next NOTE: If you don’t want to use the Authenticator App, click “I want to use a different method”. For more information about how to download and install the app, see Download and install the Microsoft Authenticator app . 4. Remain on the Set up your account page while you set up the Microsoft Authenticator app on your mobile device. 5. Open the Microsoft Authenticator app, select to allow notifications (if prompted), select Add account from the Customize and control icon on the upper-right, and then select Work or school account . 6. Return to the Set up your account page on your computer, and then select Next . 7. The Scan the QR code page appears. Scan the provided code with the Microsoft Authenticator app QR code reader, which appeared on your mobile device after you created your work or school account in Step 5. The authenticator app should successfully add your work or school account without requiring any additional information from you. However, if the QR code reader can't read the code, you can select the Can't scan the QR code link and manually enter the code and URL into the Microsoft Authenticator app. For more information about manually adding a code, see Manually add an account to the app . 7. Select Next on the Scan the QR code page on your computer. A notification is sent to the Microsoft Authenticator app on your mobile device, to test your account. 8. Approve the notification in the Microsoft Authenticator app, and then select Next . Your security info is updated to use the Microsoft Authenticator app by default to verify your identity when using two-step verification or password reset. 9. On the Phone set up page, choose whether you want to receive a text message or a phone call, and then select Next . For the purposes of this example, we're using text messages, so you must use a phone number for a device that can accept text messages. A text message is sent to your phone number. If would prefer to get a phone call, the process is the same. However, you'll receive a phone call with instructions, instead of a text message. 10. Enter the code provided by the text message sent to your mobile device, and then select Next . 11. Review the success notification, and then select Done . Your security info is updated to use text messaging as a backup method to verify your identity when using two-step verification or password reset. 12. Review the Success page to verify that you've successfully set up both the Microsoft Authenticator app and a phone (either text message or phone call) method for your security info, and then select Done .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=80980
How to uninstall Avast Secureline VPN,"To uninstall Avast SecureLine VPN from a Windows device, select the relevant tab below according to your Windows version. Your operating system: WINDOWS 11 WINDOWS 10 WINDOWS 8 WINDOWS 7 Uninstall via Start menu Right-click the Windows Start icon, then select Apps and Features from the menu that appears. Ensure that Apps & features is selected in the left panel, then click Avast SecureLine VPN , and select Uninstall . If prompted for permission by the User Account Control dialog, click Yes . When the Avast SecureLine VPN setup window appears, click Uninstall . Click Uninstall to confirm that you want to uninstall Avast SecureLine VPN. Wait while the uninstaller removes Avast SecureLine VPN from your PC. When the confirmation message appears, click Done , or if prompted, click Restart computer to immediately reboot your PC and complete uninstallation. Avast SecureLine VPN is now uninstalled from your PC. Reinstall Avast SecureLine VPN If you need to reinstall Avast SecureLine VPN, refer to the following article for installation instructions: Installing Avast SecureLine VPN",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=157242
What are the hardware and technical requirements for your online systems?,"Hardware Requirements and Technical Requirements Click here to view the hardware and technical requirements for online systems. If you want more information on Canvas Basic Guides, click here . If you want more details on Mobile Guidelines, click here . Canvas Support For assistance with Canvas, go to http://my.troy.edu using your TrojanPass credentials. Then click on the ""Helpdesk"" tile.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44510
Avira VPN,"You can uninstall Avira Phantom VPN from your computer by using the Add/Remove Program feature in the Window's Control Panel. On the Start menu (for Windows 8, right-click the screen's bottom-left corner), click Control Panel, and then, under Programs, do one of the following: Windows 8/10/11: Click Uninstall a Program . When you find the program Avira Phantom VPN, click it, and then do one of the following: Windows /8/10/11: Click Uninstall. Follow the prompts. A progress bar shows you how long it will take to remove Avira Phantom VPN.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=165194
Remote Work From Residential Dorms,"Troy University does not allow Remote Work for residents living in the dorms nor on the Academic or Administrative networks for Non-University business.  The University Technology Policies can be found at: https://www.troy.edu/epolicy/800-technology.html#802 ""802.3 Unacceptable Use Troy University employees, including students acting as employees, are prohibited from the following actions when using Troy University IT Resources: Unauthorized use of IT Resources for commercial purposes or personal gain Transmitting commercial or personal advertisements, solicitations, or promotions All users are prohibited from using Troy University IT resources in a manner which results in a violation of law or policy or potentially adversely affects network service performance. Examples of Unacceptable Use include, but are not limited to, the following:Activity that violates federal, state, or local law Activity that violates any Troy University or Board of Trustee policy Activities that lead to the destruction or damage of equipment, software, or data belonging to others or Troy University Circumventing information security controls of Troy University IT Resources Releasing malware Intentionally installing malicious software Impeding or disrupting the legitimate computing activities of others Unauthorized use of accounts, access codes, passwords, or identification numbers Unauthorized use of systems and networks Unauthorized monitoring of communications This list is not complete or exhaustive. It provides examples of prohibited actions. Any user in doubt about the acceptable use of Troy University IT Resources should contact Cyber Security for further clarification and assistance."" The RESNET Policy for dormitories can be found at: https://splash.troy.edu/go-to/resnet",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=164889
Mail Merge in Outlook - Change the Sender's Email Address,"Mail merges will always use the default account in your profile. You can create a second identity (profile) in Outlook on Mac and use that for the mail merge - but you need the correct permissions on the mailbox. Manage profiles or identities in Outlook for Mac Add the email account you wish to send from to your Outlook account. From Finder, open the Applications folder. Ctrl+click or right-click Microsoft Outlook , and then select Show Package Contents . Open Contents > Shared Support , and then launch Outlook Profile Manager . Create a new profile. Select the Create a new profile button Then enter a name for the new profile. Change the default profile. Highlight the profile that you want, access Set the default profile Then choose Set as Default . Restart Outlook for this change to take effect. Continue with mail merge process. Outlook will now use whatever is marked as the default email as the sending email address on a mail merge. Remember to change back to your original default email account in Outlook. ​​​​​​PC Specific Instructions: To send emails to a large number of recipients, senders can use mail merge functionality with content from Microsoft Word. Below are the steps that must be completed. Step 1 - Create a new profile for the shared mailbox in Outlook Typically, the shared mailbox for your department appears as a second mailbox in your Outlook when you log in as yourself. However, to use mail merge for your department, you will need to create a second profile specifically for your department's shared mailbox so that this shared mailbox is the default sender for the message. Close Outlook (if open) Open Control Panel (Press Windows key, type ""control panel"") Select ""Mail"" > then click on ""Show Profiles"" > click on Add. Enter the department shared mailbox name (ex. Office of the -----)  and click OK. Click Manual setup or additional server types and click Next. Click Office 365 and enter the email address for the department shared mailbox, then click Next. ***If this does not appear, you may see a screen where Your Name and Your Email address is blank. Enter the name of the department and the email address for the department shared mailbox (ex. Officeofthe-----@cofc.edu). Leave both password fields blank and click Next. A Windows security pop-up box will appear. Enter your CofC email address and password. Click OK. Open Control Panel > click Mail > click Show Profiles and select Prompt for a profile to be used. Click OK. Open Outlook and select the newly-configured profile (this will now pop up whenever Outlook is opened so that you can choose between your CofC mailbox and the department shared mailbox.) Step 2 - Prepare Microsoft Word The merged file is a combination of the Word document with your message, and the mailing list. Open the document in Microsoft Word, and click on the Mailings tab. Click Select Recipients and go to “Use Existing List” Use the dialog box to navigate to and open the data spreadsheet Select the appropriate table in the text dialog box If necessary, select Edit Recipient List and de-select all unwanted data Select Finish and Merge Go to Send E-Mail Messages In the “Merge to E-mail” dialog box that comes up, verify that the “To:” field and the “Subject line” field show the correct fields. Then verify that the mail format is HTML. Click OK and now messages will start to be sent.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=150193
"Avast ""Scan for Network Threats"" causing device to get blocked.","This MUST be disabled while on the Troy University Networks.  If not, our security sensors will register the scan and cause a block for the device. In the Avast Console: AvastUI > Settings > General - scroll down to > Smart Scan Disable “Scan for Network Threats”.    Also need to disable the WiFi Inspector.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=88009
How to uninstall AVG VPN,"Troy University does not allow the use of a VPN including AVG.  To remove AVG VPN following the below instructions: Uninstall via Start menu Right-click the Windows Start icon, then select Apps and Features from the menu that appears. Ensure that Apps & features is selected in the left panel, then click AVG Secure VPN , and select Uninstall . If prompted for permission by the User Account Control dialog, click Yes . When the AVG Secure VPN uninstaller appears, click Uninstall . Click Uninstall to confirm that you want to uninstall AVG Secure VPN. Wait while the uninstaller removes AVG Secure VPN from your PC. When the confirmation message appears, click Done , or if prompted, click Restart computer to immediately reboot your PC and complete uninstallation. AVG Secure VPN is now uninstalled from your device.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=157241
